"ID","State","Name","County","Lat","Lon","Combust","Fuel","FuelCat","Capacity","HeatInput","NetGen","NOX","SO2","CO2","CoalGen","OilGen","GasGen","NuclearGen","HydroGen","BiomassGen","WindGen","SolarGen","GeoGen","OtherFossilGen","OtherGen","NonRenewGen","RenewGen","CombGen","NonCombGen","CoalPortion","CapFac","SO2OutRate","CO2OutRate","NOXOutRate","NOXInRate","CO2InRate","SO2InRate"
18,"AK","Delta Power","Fairbanks",64.0283,-145.7181,1,"DFO","OIL",23.1,3246,13,0.5,0.14,265.6,0,13,0,0,0,0,0,0,0,0,0,13,0,13,0,0,6.42432149281464e-05,0.0107692307692308,20.4307692307692,0.0384615384615385,0.000154035736290819,0.0818237831176833,4.31300061614295e-05
19,"AK","Dillingham","Dillingham",59.6708,-157.89,1,"DFO","OIL",6.9,179721,19143,219.08,7.34,14703.3,0,19143,0,0,0,0,0,0,0,0,0,19143,0,19143,0,0,0.316706372840977,0.000383429974403176,0.76807710390221,0.0114443922060283,0.00121900056198218,0.0818118083028694,4.08410814540315e-05
20,"AK","Dutch Harbor","Aleutians West",53.9761,-166.5361,1,"DFO","OIL",21.6,262161,28270,319.57,10.78,21447.9,0,28270,0,0,0,0,0,0,0,0,0,28270,0,28270,0,0,0.149405969896837,0.000381322957198444,0.758680580120269,0.0113042094092678,0.00121898375425788,0.0818119399910742,4.11197699123821e-05
21,"AK","Eielson AFB Central Heat & Power Plant","Fairbanks",64.6711,-147.0719,1,"SUB","COAL",33.5,396826.5,69647,159.46,104.14,42667.9,68398,1249,0,0,0,0,0,0,0,0,0,69647,0,69647,0,0.982066707826611,0.237330470933006,0.00149525464126237,0.612630838370641,0.00228954585265697,0.00040183808289013,0.107522809086591,0.000262432070438844
22,"AK","Eklutna Hydro Project","Matanuska-Susitna",61.605,-149.1192,0,"WAT","HYDRO",44.4,0,74203,0,0,0,0,0,0,0,74203,0,0,0,0,0,0,0,74203,0,74203,0,0.190780677938212,0,0,0,NA,NA,NA
23,"AK","Elim","Nome",64.6206,-162.2772,1,"JF","OIL",1.6,10913,1137,13.3,0,872.1,0,1137,0,0,0,0,0,0,0,0,0,1137,0,1137,0,0,0.0811215753424658,0,0.767018469656992,0.0116974494283201,0.00121872995509942,0.0799138641986621,0
24,"AK","Emmonak","Bethel",62.8719,-164.4864,1,"JF","OIL",2.2,26511.5,3119,32.32,0,2118.6,0,3119,0,0,0,0,0,0,0,0,0,3119,0,3119,0,0,0.16184101286841,0,0.679256171849952,0.0103622956075665,0.00121909360089018,0.0799124908058767,0
25,"AK","Fairbanks","Fairbanks",64.8547,-147.7164,1,"RFO","OIL",42.2,238273,10318,37.87,0.2,19786.2,0,10318,0,0,0,0,0,0,0,0,0,10318,0,10318,0,0,0.0279112294141834,1.93836014731537e-05,1.91763907734057,0.00367028493894166,0.000158935338875995,0.0830400423044155,8.39373323876394e-07
26,"AK","False Island","Prince of Wales",55.4889,-133.1339,1,"DFO","OIL",1.3,2929,295,3.57,0.12,239.6,0,295,0,0,0,0,0,0,0,0,0,295,0,295,0,0,0.0259044608359677,0.000406779661016949,0.812203389830508,0.0121016949152542,0.00121884602253329,0.0818026630249232,4.09696142027996e-05
27,"AK","Fort Greely Power Plant","Southeast Fairbanks",63.0947,-145.7172,1,"DFO","OIL",10.4,5069.4,507.6,6.18,0.21,414.7,0,507.6,0,0,0,0,0,0,0,0,0,507.6,0,507.6,0,0,0.00557165437302424,0.00041371158392435,0.816981875492514,0.0121749408983452,0.00121907918096816,0.0818045528070383,4.14250207125104e-05
28,"AK","Galena Electric Utility","Yukon-Koyukuk",64.7407,-156.9551,1,"DFO","OIL",5,51187,6022,62.4,2.15,4187.7,0,6022,0,0,0,0,0,0,0,0,0,6022,0,6022,0,0,0.137488584474886,0.000357024244437064,0.695400199269346,0.0103620059780804,0.00121905952683298,0.0818117881493348,4.20028522867134e-05
29,"AK","Gambell","Nome",63.7667,-171.7375,1,"JF","OIL",1.6,13160,1557,16.04,0,1051.6,0,1557,0,0,0,0,0,0,0,0,0,1557,0,1557,0,0,0.111087328767123,0,0.675401412973667,0.0103018625561978,0.00121884498480243,0.0799088145896656,0
30,"AK","George M Sullivan Generation Plant 2","Anchorage",61.1344,-149.0846,1,"NG","GAS",266.3,11153419,1048415,954.08,19.36,652654.3,0,531.8,1047883.2,0,0,0,0,0,0,0,0,1048415,0,1048415,0,0,0.449425751504209,1.84659700595661e-05,0.622515225364002,0.000910021317894155,8.55414828403739e-05,0.0585160747569871,1.73579061272602e-06
31,"AK","Glennallen","Valdez-Cordova",61.9769,-146.5494,1,"DFO","OIL",10.7,64913,5336,79.13,2.67,5310.7,0,5336,0,0,0,0,0,0,0,0,0,5336,0,5336,0,0,0.0569282635599368,0.000500374812593703,0.995258620689655,0.0148294602698651,0.00121901622171214,0.081812579914655,4.11319766456642e-05
32,"AK","Goat Lake Hydro","Skagway-Hoonah-Angoon",59.455,-135.3264,0,"WAT","HYDRO",4,0,15705,0,0,0,0,0,0,0,15705,0,0,0,0,0,0,0,15705,0,15705,0,0.448202054794521,0,0,0,NA,NA,NA
33,"AK","Gold Creek","Juneau",58.3,-134.4061,0.5,"DFO","HYDRO",9.7,244,4547,0.3,0.01,20,0,17,0,0,4530,0,0,0,0,0,0,17,4530,17,4530,0,0.0535117450454267,2.19925225423356e-06,0.00439850450846712,6.59775676270068e-05,0.00122950819672131,0.0819672131147541,4.0983606557377e-05
34,"AK","Green Lake","Sitka",56.9858,-135.1211,0,"WAT","HYDRO",18.6,0,58101,0,0,0,0,0,0,0,58101,0,0,0,0,0,0,0,58101,0,58101,0,0.356587862719104,0,0,0,NA,NA,NA
35,"AK","Gwitchyaa Zhee","Yukon-Koyukuk",66.5208,-145.3064,1,"DFO","OIL",2.2,22933,2698,27.96,0.94,1876.2,0,2698,0,0,0,0,0,0,0,0,0,2698,0,2698,0,0,0.139995848899959,0.000348406226834692,0.695404002965159,0.0103632320237213,0.00121920376749662,0.0818122356429599,4.0988967862905e-05
36,"AK","Healy","Denali",63.8542,-148.95,1,"WC","COAL",30.8,1910762.8,189785,241.89,255.46,202185.8,189476.7,308.3,0,0,0,0,0,0,0,0,0,189785,0,189785,0,0.998375530205232,0.703407608373362,0.00134604947703981,1.06534130726875,0.00127454751429249,0.000126593421224236,0.10581418059845,0.000133695296977731
37,"AK","Hoonah","Sitka",58.1833,-135.7433,1,"DFO","OIL",2.4,45712,4562,55.72,1.85,3739.8,0,4562,0,0,0,0,0,0,0,0,0,4562,0,4562,0,0,0.216990106544901,0.000405523893029373,0.819772029811486,0.012213941253836,0.00121893594679734,0.0818122156107805,4.04707735386769e-05
38,"AK","Hooper Bay","Bethel",61.5208,-166.1003,1,"JF","OIL",1.6,25403,2607,30.97,0,2030,0,2607,0,0,0,0,0,0,0,0,0,2607,0,2607,0,0,0.186001712328767,0,0.77867280398926,0.011879555044112,0.0012191473448018,0.0799118214384128,0
39,"AK","International","Anchorage",61.1703,-149.9103,1,"NG","GAS",46.3,44550,1298,6.15,0.08,2606.4,0,0,1298,0,0,0,0,0,0,0,0,1298,0,1298,0,0,0.00320029192185173,6.1633281972265e-05,2.00801232665639,0.00473805855161787,0.000138047138047138,0.0585050505050505,1.79573512906846e-06
40,"AK","Kake","Wrangell-Petersburg",56.1522,-133.1519,1,"DFO","OIL",2.5,20332,2392,24.78,0.82,1663.4,0,2392,0,0,0,0,0,0,0,0,0,2392,0,2392,0,0,0.109223744292237,0.000342809364548495,0.695401337792642,0.0103595317725753,0.00121876844383238,0.081811922093252,4.03305134762935e-05
41,"AK","Kasidaya Creek Hydro","Skagway-Hoonah-Angoon",59.4072,-135.3408,0,"WAT","HYDRO",3,0,7266,0,0,0,0,0,0,0,7266,0,0,0,0,0,0,0,7266,0,7266,0,0.27648401826484,0,0,0,NA,NA,NA
42,"AK","Kasigluk","Bethel",60.8731,-162.5197,1,"JF","OIL",1.6,19793,2181,24.13,0,1581.7,0,2181,0,0,0,0,0,0,0,0,0,2181,0,2181,0,0,0.155607876712329,0,0.725217790004585,0.0110637322329207,0.00121911786995402,0.0799120901328753,0
43,"AK","Ketchikan","Ketchikan",55.3633,-131.6778,0,"WAT","HYDRO",4.2,0,23338,0,0,0,0,0,0,0,23338,0,0,0,0,0,0,0,23338,0,23338,0,0.634322678843227,0,0,0,NA,NA,NA
44,"AK","Kiana","Northwest Arctic",67.5683,-160.5053,1,"JF","OIL",1.1,15274,1515,18.62,0,1220.6,0,1515,0,0,0,0,0,0,0,0,0,1515,0,1515,0,0,0.157222914072229,0,0.805676567656766,0.0122904290429043,0.00121906507791017,0.0799135786303522,0
45,"AK","King Cove","Aleutians East",55.7272,-160.7167,1,"DFO","OIL",2.6,37461,4480.6,45.67,1.47,3064.8,0,4480.6,0,0,0,0,0,0,0,0,0,4480.6,0,4480.6,0,0,0.196724622409554,0.000328081060572245,0.684015533633888,0.0101928313172343,0.00121913456661595,0.0818130856090334,3.92408104428606e-05
46,"AK","Kivalina","Northwest Arctic",67.63,-163.7189,1,"JF","OIL",1.1,10300,1202,12.56,0,823.1,0,1202,0,0,0,0,0,0,0,0,0,1202,0,1202,0,0,0.124740556247406,0,0.68477537437604,0.0104492512479201,0.00121941747572816,0.0799126213592233,0
47,"AK","Kodiak","Kodiak Island",57.785,-152.4247,1,"DFO","OIL",22.3,98240,9766,119.75,4.03,8037.2,0,9766,0,0,0,0,0,0,0,0,0,9766,0,9766,0,0,0.0499928333026189,0.000412656154003686,0.822977677657178,0.012261929141921,0.00121895358306189,0.0818118892508143,4.1021986970684e-05
48,"AK","Kotlik","Wade Hampton",62.9456,-163.7614,1,"JF","OIL",1.4,15247,1944,18.59,0,1218.4,0,1944,0,0,0,0,0,0,0,0,0,1944,0,1944,0,0,0.158512720156556,0,0.626748971193416,0.00956275720164609,0.00121925624713058,0.0799108021250082,0
49,"AK","Kotzebue","Northwest Arctic",66.2053,-160.2692,0.5,"DFO","OIL",14.6,176443,20759,215.08,7.02,14435.2,0,20758,0,0,0,0,1,0,0,0,0,20758,1,20758,1,0,0.162311565647088,0.000338166578351558,0.695370682595501,0.0103608073606628,0.00121897723344083,0.0818122566494562,3.97862199123796e-05
50,"AK","Koyuk","Nome",64.93,-161.16,1,"JF","OIL",1.1,11619.5,1367,14.16,0,928.5,0,1367,0,0,0,0,0,0,0,0,0,1367,0,1367,0,0,0.141863843918638,0,0.679224579370885,0.0103584491587418,0.00121864107749903,0.0799087740436335,0
51,"AK","Lake Dorothy Hydroelectric Project","Juneau",58.2325,-134.0533,0,"WAT","HYDRO",14.3,0,58741,0,0,0,0,0,0,0,58741,0,0,0,0,0,0,0,58741,0,58741,0,0.468922629881534,0,0,0,NA,NA,NA
52,"AK","McGrath","Yukon-Koyukuk",63.2369,-154.2194,1,"DFO","OIL",3.2,23256,2736,28.35,1.01,1902.6,0,2736,0,0,0,0,0,0,0,0,0,2736,0,2736,0,0,0.0976027397260274,0.000369152046783626,0.695394736842105,0.0103618421052632,0.00121904024767802,0.0818111455108359,4.34296525627795e-05
